Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,IDStation,reg_Y_nn1_ID,Date,IDStation,NameStation,Wind_speed,Wind_direction,Temperature,Relative_humidity,Global_radiation,Water_height,Wind_speed_max,Wind_direction_max,Rainfall
2019-01-01T00:00:00Z,677,Cremona Via Fatebenefratelli,2.3,NA,NA,NA,NA,NA,0.6583333333333333,NA,NA,NA,36.725,74.76666666666667,4.570833333333334,68,56,0.5333333333333333,677,677,2019-01-01T00:00:00Z,677,Cremona Via Fatebenefratelli,0.737415924480938,291,2.0993055555555555,97.84722222222223,24.99652777777778,NA,1.8472222222222223,NA,0
2019-01-01T00:00:00Z,705,Milano Pascal Citta Studi,6.6,NA,3.1,NA,5.5,NA,NA,NA,NA,NA,44.12083333333333,111.40416666666667,4.4,91,82,1.3416666666666668,705,502,2019-01-01T00:00:00Z,502,Milano Via Juvara,1.1031014048114665,251,4.611805555555556,82.94375,53.856944444444444,NA,3.259027777777778,215,0
2019-01-01T00:00:00Z,681,Moggio,0.4,NA,NA,NA,NA,NA,NA,NA,NA,1.0260869565217392,1.675,4.125,74.73333333333333,16,15,NA,681,111,2019-01-01T00:00:00Z,111,Cassina Valsassina Moggio,0.4931055724536355,40,2.5277777777777777,51.5625,65.58333333333333,NA,2.0569444444444445,144,0
2019-01-01T00:00:00Z,642,Pavia Via Folperti,6.1,NA,1.7,NA,NA,NA,NA,NA,NA,NA,42.233333333333334,80.7375,9.720833333333333,64,60,3.6458333333333335,642,642,2019-01-01T00:00:00Z,642,Pavia Via Folperti,NA,NA,2.761111111111111,93.16875,25.502777777777776,NA,NA,NA,0
2019-01-01T00:00:00Z,703,Schivenoglia,19.7,NA,0.9,NA,NA,NA,0.7541666666666667,NA,NA,NA,33.333333333333336,56.016666666666666,7.5625,58,43,1.875,703,816,2019-01-01T00:00:00Z,816,Sermide E Felonica Sp ,2.4084654388910285,243,1.9951388888888888,NA,34.9375,145.71527777777777,NA,NA,0.2
2019-01-02T00:00:00Z,677,Cremona Via Fatebenefratelli,1.3,NA,NA,NA,NA,NA,0.4791666666666667,NA,NA,NA,31.916666666666668,65.95833333333333,10.579166666666667,43,30,1.1666666666666667,677,677,2019-01-02T00:00:00Z,677,Cremona Via Fatebenefratelli,0.19932226351995788,232,1.1868055555555554,87.90902777777778,38.02847222222222,NA,1.93125,NA,0
2019-01-02T00:00:00Z,705,Milano Pascal Citta Studi,2.4,NA,1.2,NA,1.5,NA,NA,NA,NA,NA,26.683333333333334,51.57083333333333,39.020833333333336,20,16,1.0083333333333333,705,502,2019-01-02T00:00:00Z,502,Milano Via Juvara,3.261969409153868,346,7.499305555555556,44.66736111111111,83.93888888888888,NA,7.967361111111111,165,0
2019-01-02T00:00:00Z,681,Moggio,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6625,0.15,0.75,82.85833333333333,6,3,NA,681,111,2019-01-02T00:00:00Z,111,Cassina Valsassina Moggio,0.928331940880817,344,1.5805555555555555,26.819444444444443,70.38194444444444,NA,7.993055555555555,249,0
2019-01-02T00:00:00Z,642,Pavia Via Folperti,2.7,NA,0.9,NA,NA,NA,NA,NA,NA,NA,27.045833333333334,53.12083333333333,35.32083333333333,23,22,3.4166666666666665,642,642,2019-01-02T00:00:00Z,642,Pavia Via Folperti,NA,NA,4.784027777777777,57.15,81.1361111111111,NA,NA,NA,0
2019-01-02T00:00:00Z,703,Schivenoglia,14.9,NA,1,NA,NA,NA,0.4916666666666667,NA,NA,NA,28.145833333333332,33.84583333333333,17.079166666666666,47,38,2.2,703,816,2019-01-02T00:00:00Z,816,Sermide E Felonica Sp ,1.7987467868535705,264,2.2680555555555557,NA,44.083333333333336,142.20138888888889,NA,NA,0
