IDStation,NameStation,Latitude,Longitude,geometry,reg_Y_nn1_name,reg_Y_nn1_ID,reg_Y_nn1_dist,reg_Y_nn2_name,reg_Y_nn2_ID,reg_Y_nn2_dist,reg_Y_nn3_name,reg_Y_nn3_ID,reg_Y_nn3_dist,reg_Y_nn4_name,reg_Y_nn4_ID,reg_Y_nn4_dist
677,Cremona Via Fatebenefratelli,45.14254063221695,10.043836158369393,"c(10.0438361583694, 45.1425406322169)",Cremona Via Fatebenefratelli,677,0,Persico Dosimo,136,2622.66,Cremona Via Gerre Borghi,1303,4175.53,Spinadesco Via Battisti,1297,8924.53
703,Schivenoglia,45.016877820755425,11.07609463264049,"c(11.0760946326405, 45.0168778207554)",Mantova Tridolino,671,22802.93,Bigarello,214,24168.28,Gonzaga,110,24955.88,Mantova Lunetta Smr,166,25260.47
681,Moggio,45.91278752030292,9.497538167653424,"c(9.49753816765342, 45.9127875203029)",Cassina Valsassina Moggio,111,34.16,Barzio Piani Di Bobbio,1347,5200.87,Lecco Via Sora,706,9315.78,San Giovanni Bianco Cornalita,119,11959.18
