IDStation,NameStation,nada
677,Cremona - Via Fatebenefratelli,44
681,Moggio,48
693,Sannazzaro de' Burgondi - AGIP,66
642,Pavia - via Folperti,76
703,Schivenoglia,215
705,Milano - Pascal Città Studi,273
501,Milano - viale Marche,365
504,Sesto S.Giovanni,365
514,Rho - via Statuto,365
517,Turbigo,365
528,Milano - Verziere,365
529,Cinisello Balsamo,365
531,Limito,365
539,Milano - viale Liguria,365
542,Meda,365
544,Cormano,365
545,Motta Visconti (aria),365
546,Magenta,365
548,Milano - via Senato,365
551,Arconate (aria),365
552,Varese - Vidoletti,365
554,Saronno - via Santuario,365
558,Busto Arsizio - Accam,365
560,Varese - via Copelli,365
561,Como - viale Cattaneo,365
564,Erba - via Battisti,365
565,Cantù - via Meucci,365
569,Sondrio - via Mazzini,365
571,Bormio,365
572,Morbegno - via Cortivacci,365
573,Colico,365
574,Lecco - Via Amendola,365
576,Merate,365
583,Bergamo - via Meucci,365
584,Bergamo - via Garibaldi,365
588,Tavernola Bergamasca,365
592,Treviglio,365
595,Filago - via Don Milani,365
596,Osio Sotto,365
598,S.Rocco al Porto,365
600,Lodi - viale Vignati,365
604,Tavazzano,365
606,S.Giuliano Milanese,365
607,Abbadia Cerreto,365
608,Codogno - via Trento,365
609,Casirate d`Adda,365
626,Corte de Cortesi,365
627,Cremona - p.zza Cadorna,365
629,Crema - via XI febbraio,365
633,Soresina,365
643,Pavia - p.zza Minerva,365
649,Brescia - Broletto,365
652,Brescia - via Turati,365
654,Sarezzo - via Minelli,365
655,Darfo (aria),365
656,Gambara,365
657,Lonato,365
659,Odolo,365
661,Rezzato,365
663,Mantova - via Ariosto,365
664,Mantova - p.zza Gramsci,365
665,Viadana,365
669,Brescia - Villaggio Sereno,365
670,Mantova - S.Agnese,365
672,Cornale (Voghera Energia),365
673,Voghera - via Pozzoni,365
674,Monza - via Machiavelli,365
679,Valmadrera,365
682,Ferrera Erbognone - ENI,365
683,Cassano d'Adda 2 - Via Milano,365
685,Calusco d' Adda,365
687,Ferno,365
690,Casoni - AGIP,365
695,Ponti sul Mincio,365
697,Borgofranco - loc. Bonizzo,365
706,Lecco - Via Sora,365
708,Parona,365
709,Vigevano - via Valletta,365
1264,Sondrio - via Paribelli,365
1265,Lodi - S. Alberto,365
1266,Bertonico,365
1269,Dalmine - via Verdi,365
1274,Perledo,365
1297,Spinadesco,365
1374,Monza Parco,365
