IDStation,NameStation,Date,Wind_speed,Wind_direction,Temperature,Relative_humidity,Global_radiation,Rainfall
677,Cremona Via Fatebenefratelli,2020-01-01,0.1454338109659914,358,2.429861111111111,93.83819444444445,63.43749999999999,0
677,Cremona Via Fatebenefratelli,2020-01-02,0.42399009722595593,252,0.9708333333333327,99.05,44.06666666666668,0
677,Cremona Via Fatebenefratelli,2020-01-03,0.5807305700505642,266,4.458333333333333,91.40555555555555,59.67708333333333,0
677,Cremona Via Fatebenefratelli,2020-01-04,0.6098381534556488,289,4.862499999999999,89.57361111111112,65.60208333333338,0
677,Cremona Via Fatebenefratelli,2020-01-05,0.1215934094431891,358,4.334722222222222,88.14930555555557,70.19375000000004,0
677,Cremona Via Fatebenefratelli,2020-01-06,0.2520484626109769,301,1.3236111111111113,97.62916666666668,63.144444444444424,0
677,Cremona Via Fatebenefratelli,2020-01-07,0.576684861357992,277,0.9701388888888891,99.5,15.465277777777775,0
677,Cremona Via Fatebenefratelli,2020-01-08,0.8493030004246075,286,0.6659722222222223,99.53819444444444,23.21666666666666,0
677,Cremona Via Fatebenefratelli,2020-01-09,0.44907785989241095,283,0.1548611111111113,99.54583333333333,52.47291666666668,0
677,Cremona Via Fatebenefratelli,2020-01-10,0.16227481077076844,294,3.322916666666667,94.61805555555556,47.752777777777794,0
677,Cremona Via Fatebenefratelli,2020-01-11,0.4491734531618064,294,3.517361111111112,93.74375,71.5243055555555,0
677,Cremona Via Fatebenefratelli,2020-01-12,0.22268929045673036,329,2.4916666666666663,92.86805555555556,71.11319444444442,0
677,Cremona Via Fatebenefratelli,2020-01-13,0.2754166983922713,338,0.8597222222222222,98.45625,67.73958333333333,0
677,Cremona Via Fatebenefratelli,2020-01-14,0.30295605229229244,283,3.526388888888889,98.73680555555556,28.792361111111116,0
677,Cremona Via Fatebenefratelli,2020-01-15,0.40741927330533784,292,5.361111111111112,98.50833333333334,28.581250000000015,0
677,Cremona Via Fatebenefratelli,2020-01-16,0.1748436994159819,282,5.7875000000000005,98.48750000000001,61.08749999999998,0
677,Cremona Via Fatebenefratelli,2020-01-17,0.6462876145662083,274,5.515972222222223,90.61944444444444,71.31180555555555,1.4
677,Cremona Via Fatebenefratelli,2020-01-18,0.41949601581782525,307,5.675000000000001,99.49305555555556,15.576388888888884,12.199999999999996
677,Cremona Via Fatebenefratelli,2020-01-19,0.42514794148444246,300,3.142361111111111,99.48680555555556,30.523611111111094,0
677,Cremona Via Fatebenefratelli,2020-01-20,0.6081706828078562,50,4.297916666666667,76.18333333333334,78.84652777777782,0
677,Cremona Via Fatebenefratelli,2020-01-21,0.18131088958446165,301,2.9000000000000004,85.80277777777778,64.23402777777783,0
677,Cremona Via Fatebenefratelli,2020-01-22,0.7942775432864607,262,3.3687500000000004,83.64444444444445,76.61388888888887,0
677,Cremona Via Fatebenefratelli,2020-01-23,0.32122920429776486,51,2.295138888888889,90.82916666666667,79.95208333333338,0
677,Cremona Via Fatebenefratelli,2020-01-24,0.22379466044336943,330,3.6236111111111122,91.14305555555556,61.91527777777778,0
677,Cremona Via Fatebenefratelli,2020-01-25,0.36535232167827053,274,5.0569444444444445,99.38194444444444,19.956250000000008,1
677,Cremona Via Fatebenefratelli,2020-01-26,0.5272862191253149,281,6.454861111111112,92.69444444444444,65.80902777777777,0.2
677,Cremona Via Fatebenefratelli,2020-01-27,0.14838837650367798,285,5.921527777777778,93.20208333333333,69.25486111111113,0
677,Cremona Via Fatebenefratelli,2020-01-28,0.6447116928930378,289,6.954861111111112,97.96944444444445,33.344444444444456,0.2
677,Cremona Via Fatebenefratelli,2020-01-29,1.4132714156355215,260,7.7673611111111125,74.28055555555557,97.28750000000002,0.2
677,Cremona Via Fatebenefratelli,2020-01-30,0.20634322922366347,28,5.621527777777779,86.67777777777778,81.00555555555559,0
677,Cremona Via Fatebenefratelli,2020-01-31,0.3907399210934513,286,7.084722222222222,88.0263888888889,93.80694444444443,0
677,Cremona Via Fatebenefratelli,2020-02-01,0.2185100766032543,353,8.227777777777778,98.6875,18.28125,0.2
677,Cremona Via Fatebenefratelli,2020-02-02,0.3662938268957646,301,5.957638888888889,99.49791666666667,29.550000000000022,0
677,Cremona Via Fatebenefratelli,2020-02-03,0.42439085691598366,90,6.479166666666667,99.58541666666667,26.336805555555557,0
677,Cremona Via Fatebenefratelli,2020-02-04,1.680134266633414,327,8.5875,67.74027777777778,104.73819444444442,0
677,Cremona Via Fatebenefratelli,2020-02-05,1.3911721638686332,311,8.246527777777777,39.22638888888889,113.26111111111115,0
677,Cremona Via Fatebenefratelli,2020-02-06,0.2872796014939464,54,5.186805555555556,50.225,117.4111111111111,0
677,Cremona Via Fatebenefratelli,2020-02-07,0.4823336353945955,292,5.547916666666668,62.86944444444445,112.31875000000001,0
677,Cremona Via Fatebenefratelli,2020-02-08,0.14202854833876213,73,4.490277777777778,75.42083333333333,100.58888888888887,0
677,Cremona Via Fatebenefratelli,2020-02-09,0.4201442453446574,350,5.1375,84.14305555555556,86.11388888888887,0
677,Cremona Via Fatebenefratelli,2020-02-10,0.9366640703282814,265,7.204166666666667,96.05972222222222,60.65624999999999,0
677,Cremona Via Fatebenefratelli,2020-02-11,1.074246176562784,264,10.17152777777778,60.849305555555574,120.13750000000005,0
677,Cremona Via Fatebenefratelli,2020-02-12,1.7957860462912116,250,10.852083333333335,32.22152777777778,125.13472222222227,0
677,Cremona Via Fatebenefratelli,2020-02-13,0.40812269040169286,32,6.713888888888889,65.72152777777778,105.46805555555558,0.2
