IDStation,NameStation,MissingAmmonia,MissingPM10,MissingPM25,MissingAllThree
1266,Bertonico,10,15,366,3
705,Milano Pascal Citta Studi,20,21,23,4
681,Moggio,23,17,22,7
693,Sannazzaro De Burgondi Agip,26,18,16,14
642,Pavia Via Folperti,29,8,46,1
677,Cremona Via Fatebenefratelli,37,10,24,1
703,Schivenoglia,60,27,27,9
548,Milano Via Senato,366,17,20,16
554,Saronno Via Santuario,366,5,16,3
560,Varese Via Copelli,366,2,8,0
561,Como Viale Cattaneo,366,17,18,15
576,Merate,366,5,5,5
583,Bergamo Via Meucci,366,12,13,11
592,Treviglio,366,9,0,0
600,Lodi Viale Vignati,366,4,4,3
609,Casirate D'Adda,366,19,37,9
627,Cremona Pzza Cadorna,366,13,15,3
633,Soresina,366,21,18,16
649,Brescia Broletto,366,29,8,7
655,Darfo Aria,366,42,44,41
669,Brescia Villaggio Sereno,366,21,27,21
670,Mantova San Agnese,366,4,8,4
674,Monza Via Machiavelli,366,32,37,31
685,Calusco D'Adda,366,3,21,1
695,Ponti Sul Mincio,366,7,5,3
697,Borgofranco Loc Bonizzo,366,14,22,8
706,Lecco Via Sora,366,35,26,15
1264,Sondrio Via Paribelli,366,7,6,6
1265,Lodi San Alberto,366,8,10,8
1269,Dalmine Via Verdi,366,32,25,24
1297,Spinadesco,366,12,8,6
1374,Monza Parco,366,30,366,30
