,IDStation,NameStation,Date,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,Cadmium,CO,Lead,Nikel,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
0,703,Schivenoglia Via Malpasso,2014-01-01,14.1,,0.6000000000000001,1.5,,0.7166666666666667,,,28.73333333333333,53.55416666666667,12.645833333333334,56.0,56.0,2.8875,1.5082131869891886,4.766666666666667,84.15833333333333,79.7375,0.2,3
1,703,Schivenoglia Via Malpasso,2014-01-02,19.4,1.1,0.8,,0.0,0.790909090909091,4.2,4.2,32.304761904761904,67.66190476190476,4.640909090909091,56.0,55.0,3.522727272727273,0.3909407176432399,5.479166666666667,87.09166666666667,13.875,2.0,4
2,703,Schivenoglia Via Malpasso,2014-01-03,10.2,,0.5,,,0.6125,,,33.17916666666667,57.99583333333334,5.395833333333334,43.0,39.0,2.154166666666667,2.104679965836531,5.766666666666667,97.4125,23.12916666666667,1.4,3
3,703,Schivenoglia Via Malpasso,2014-01-04,8.6,,0.7000000000000001,0.8,,0.7083333333333334,,,28.166666666666668,56.17916666666667,6.75,37.0,33.0,3.1083333333333334,0.949083498479754,6.95,99.60833333333332,4.8583333333333325,5.800000000000001,2
4,703,Schivenoglia Via Malpasso,2014-01-05,7.7,,0.8,,,0.7375,,,28.325000000000003,65.87083333333334,3.7208333333333337,18.0,16.0,4.116666666666667,1.1301282666384591,7.541666666666667,99.82916666666668,5.970833333333334,14.2,3
5,703,Schivenoglia Via Malpasso,2014-01-06,13.6,,0.8,,,0.6958333333333334,,,27.004166666666663,57.90833333333334,10.033333333333331,26.0,25.0,2.4333333333333336,1.7482168786162071,9.4625,86.50833333333334,80.42083333333333,0.0,4
6,703,Schivenoglia Via Malpasso,2014-01-07,14.4,,1.1,1.4,,0.8304347826086957,,,36.58695652173913,94.90434782608696,4.678260869565218,53.0,52.0,2.5043478260869567,1.0407412102914664,7.970833333333334,90.80416666666667,56.92083333333333,0.2,3
7,703,Schivenoglia Via Malpasso,2014-01-08,25.700000000000003,1.1,1.1,,0.0,0.8,4.2,2.1,33.09583333333333,100.7125,4.825,,53.0,2.9958333333333336,1.1989453402645889,9.558333333333334,89.39166666666668,25.679166666666667,0.0,3
8,703,Schivenoglia Via Malpasso,2014-01-09,17.900000000000002,,1.8,,,0.9791666666666669,,,34.81666666666667,148.7125,4.7125,,,4.008333333333334,0.2361865787541625,8.666666666666668,93.7875,30.2125,0.0,1
9,703,Schivenoglia Via Malpasso,2014-01-10,14.1,,1.3,0.7000000000000001,,0.8333333333333334,,,39.80833333333334,151.03750000000002,5.4375,40.0,38.0,3.520833333333333,0.7300526862950865,8.316666666666666,94.61666666666667,62.6375,0.0,2
10,703,Schivenoglia Via Malpasso,2014-01-11,15.0,,1.9,,,1.0208333333333333,,,35.4125,187.25833333333333,2.6708333333333334,81.0,57.0,4.304166666666667,0.3310214099661501,10.158333333333331,91.02083333333334,24.054166666666667,0.0,4
